Group,Field,Type,Required,Used by,Value
Effort table,Role,text,no,Driver 1,Solution architect
Effort table,headcount,number,no,Driver 1,4
Effort table,frequency per week,number,no,Driver 1,3
Effort table,current minutes per instance,number,no,Driver 1,240
Effort table,expected minutes per instance,number,no,Driver 1,45
Quality baseline,Current volume,number,no,Driver 2,150
Quality baseline,error rate,number,no,Driver 2,0.18
Quality baseline,expected reduction,number,no,Driver 2,0.6
Quality baseline,error class,text,no,Driver 2,a required guardrail missing from the design pack
Sensitivity flags,Personal data,yesno,yes,Driver 3 and the criticality band,no
Sensitivity flags,health data,yesno,yes,Driver 3 and the criticality band,no
Sensitivity flags,financial,yesno,yes,Driver 3 and the criticality band,no
Sensitivity flags,regulated,yesno,yes,Driver 3 and the criticality band,yes
Avoided cost citation,Specific avoided fine or audit-hour reduction,number,no,"Driver 3, where quantified",180000
Avoided cost citation,with its source,text,no,"Driver 3, where quantified","DoH internal audit 2026, remediation hours at AED 450/hr"
Data maturity,Whether the underlying data is fully digital,yesno,no,Driver 1 Year-1 discount,yes
Investment,Budget bucket or vendor quote,text,no,Build cost,"AED 250,000 FY27 platform bucket, no vendor quote yet"
Urgency,Required-by date or urgency band,date,yes,Roadmap section,2026-12-15
Volume assumptions,Runs per month,number,no,"Cost — places every banded price line in its band; a driver left blank makes that line requires_input, never a guess",120
Volume assumptions,users,number,no,"Cost — places every banded price line in its band; a driver left blank makes that line requires_input, never a guess",40
Volume assumptions,records (Finance-owned),number,no,"Cost — places every banded price line in its band; a driver left blank makes that line requires_input, never a guess",1500
